onset	duration	miniblock_number	category	subcategory	stim_file
42.63535740901716	0.4328522520372644	7	objects	car	car/car-134.jpg
43.168695177999325	0.43090658902656287	7	objects	car	car/car-85.jpg
43.6998257630039	0.43113805493339896	7	objects	car	car/car-74.jpg
44.23227782303002	0.4307811569888145	7	objects	car	car/car-93.jpg
44.7641572940629	0.4303497519576922	7	objects	car	car/car-61.jpg
45.29601481498685	0.43119969207327813	8	characters	word	word/word-87.jpg
45.828116829972714	0.4289737460203469	8	characters	word	word/word-47.jpg
46.35885722900275	0.43070225801784545	8	characters	word	word/word-6.jpg
46.89040054299403	0.4322231539990753	8	characters	word	word/word-76.jpg
47.42423541098833	0.43224004993680865	8	characters	word	word/word-43.jpg
47.956596884992905	0.4388205490540713	8	characters	word	word/word-10.jpg
48.495463166967966	0.43610031495336443	8	characters	word	word/word-29.jpg
49.0342905879952	0.442205038969405	8	characters	word	word/word-134.jpg
49.579028094070964	0.4409805500181392	8	characters	word	word/word-9.jpg
50.12166735006031	0.4305181410163641	8	characters	word	word/word-11.jpg
50.65329655702226	0.4380691120168194	8	characters	word	word/word-43.jpg
51.192068099975586	0.43245169695001096	8	characters	word	word/word-114.jpg
51.726158190052956	0.4293169730808586	9	characters	word	word/word-9.jpg
52.257061709067784	0.4311649790033698	9	characters	word	word/word-128.jpg
52.78867106104735	0.43024277791846544	9	characters	word	word/word-56.jpg
53.32069170998875	0.4722611550241709	9	characters	word	word/word-9.jpg
53.89328006003052	0.44277107203379273	9	characters	word	word/word-50.jpg
54.446267068968154	0.43278458691202104	9	characters	word	word/word-50.jpg
54.98824668198358	0.4485835420200601	9	characters	word	word/word-143.jpg
55.537400364060886	0.4346870220033452	9	characters	word	word/word-84.jpg
56.08613642002456	0.4521118940319866	9	characters	word	word/word-84.jpg
56.638319420977496	0.4372983149951324	9	characters	word	word/word-115.jpg
57.17609677801374	0.45595341897569597	9	characters	word	word/word-97.jpg
57.73236102901865	0.4446673709899187	9	characters	word	word/word-6.jpg
58.280169452074915	0.433829888002947	10	objects	car	car/car-20.jpg
58.814685545978136	0.43115100904833525	10	objects	car	car/car-50.jpg
59.34843517898116	0.4345354180550203	10	objects	car	car/car-92.jpg
59.88529050000943	0.43702678196132183	10	objects	car	car/car-7.jpg
60.42365261807572	0.43538586201611906	10	objects	car	car/car-32.jpg
60.95957015606109	0.4315385619411245	10	objects	car	car/car-120.jpg
61.492992051062174	0.4341410950291902	10	objects	car	car/car-49.jpg
62.02937284798827	0.43379145802464336	10	objects	car	car/car-120.jpg
62.56408070703037	0.43117116193752736	10	objects	car	car/car-98.jpg
63.09554135706276	0.4302737560356036	10	objects	car	car/car-97.jpg
63.62805399601348	0.4337640539743006	10	objects	car	car/car-66.jpg
64.161847957992	0.43109103199094534	10	objects	car	car/car-82.jpg
64.69408924505115	0.43400962196756154	11	bodies	body	body/body-106.jpg
65.22830750106368	0.4471291790250689	11	bodies	body	body/body-101.jpg
65.77741857105866	0.4384928699582815	11	bodies	body	body/body-56.jpg
66.3166775109712	0.44212232797872275	11	bodies	body	body/body-56.jpg
66.86084550700616	0.4293870209949091	11	bodies	body	body/body-6.jpg
67.39043886598665	0.4327634070068598	11	bodies	body	body/body-144.jpg
67.92424832598772	0.4759125339332968	11	bodies	body	body/body-119.jpg
68.5003691460006	0.43488109402824193	11	bodies	body	body/body-30.jpg
69.0370775499614	0.4381730549503118	11	bodies	body	body/body-7.jpg
69.57967165403534	0.4655935049522668	11	bodies	body	body/body-136.jpg
70.14603304397315	0.4406938550528139	11	bodies	body	body/body-73.jpg
70.68754163302947	0.4319420150713995	11	bodies	body	body/body-112.jpg
71.22134247096255	0.44742827594745904	12	characters	word	word/word-29.jpg
71.77016923204064	0.42923591600265354	12	characters	word	word/word-17.jpg
72.30022130603902	0.440721724065952	12	characters	word	word/word-113.jpg
72.8436945839785	0.4331421760143712	12	characters	word	word/word-90.jpg
73.3787691630423	0.4346866609994322	12	characters	word	word/word-88.jpg
73.91527486301493	0.43416169204283506	12	characters	word	word/word-24.jpg
74.45168196596205	0.43024507304653525	12	characters	word	word/word-132.jpg
74.98408207402099	0.43187700503040105	12	characters	word	word/word-76.jpg
75.51790797198191	0.44697742094285786	12	characters	word	word/word-52.jpg
76.06664964801166	0.4552847900195047	12	characters	word	word/word-58.jpg
76.62274396501016	0.433897634036839	12	characters	word	word/word-134.jpg
77.1583469560137	0.4352226119954139	12	characters	word	word/word-144.jpg
77.69519373599906	0.4377526339376345	13	faces	adult	adult/adult-144.jpg
78.23309509502724	0.4366906320210546	13	faces	adult	adult/adult-44.jpg
78.7713326390367	0.438803147058934	13	faces	adult	adult/adult-141.jpg
79.31147846602835	0.43265355401672423	13	faces	adult	adult/adult-37.jpg
79.84558745205868	0.43146543204784393	13	faces	adult	adult/adult-113.jpg
80.37779152102303	0.43309615401085466	13	faces	adult	adult/adult-28.jpg
80.91121798101813	0.43540545098949224	13	faces	adult	adult/adult-79.jpg
81.44823775999248	0.43559643998742104	13	faces	adult	adult/adult-38.jpg
81.98421789403073	0.44128558796364814	13	faces	adult	adult/adult-97.jpg
82.54253034899011	0.43350626598112285	13	faces	adult	adult/adult-138.jpg
83.07660531706642	0.43363474402576685	13	faces	adult	adult/adult-138.jpg
83.62641347106546	0.434491238091141	13	faces	adult	adult/adult-110.jpg
84.17670770699624	0.43361361394636333	14	places	house	house/house-66.jpg
84.72700644098222	0.4374748379923403	14	places	house	house/house-119.jpg
85.26543603104074	0.43337754206731915	14	places	house	house/house-12.jpg
85.7988565240521	0.4338589559774846	14	places	house	house/house-103.jpg
86.34895187802613	0.433226314955391	14	places	house	house/house-72.jpg
86.88264778605662	0.43380274705123156	14	places	house	house/house-95.jpg
87.43308573204558	0.43303810502402484	14	places	house	house/house-121.jpg
87.96751627407502	0.44924403890036047	14	places	house	house/house-62.jpg
88.5323432260193	0.4512694989098236	14	places	house	house/house-87.jpg
89.09958723804448	0.45123809296637774	14	places	house	house/house-14.jpg
89.66749754501507	0.4328677470330149	14	places	house	house/house-130.jpg
90.20071476500016	0.434100852929987	14	places	house	house/house-46.jpg
90.75187374500092	0.43201818398665637	15	objects	car	car/car-103.jpg
91.28456343396101	0.45095472189132124	15	objects	car	car/car-122.jpg
91.85182182304561	0.43277298903558403	15	objects	car	car/car-125.jpg
92.38631450198591	0.4329671199666336	15	objects	car	car/car-12.jpg
92.93546804902144	0.4323669009609148	15	objects	car	car/car-119.jpg
93.48502381506842	0.43451463198289275	15	objects	car	car/car-22.jpg
94.03566753002815	0.4337246499489993	15	objects	car	car/car-115.jpg
94.56977567297872	0.45049572503194213	15	objects	car	car/car-59.jpg
95.13642082700972	0.43386414798442274	15	objects	car	car/car-92.jpg
95.6867216359824	0.43371222203131765	15	objects	car	car/car-36.jpg
96.23692974098958	0.43383205600548536	15	objects	car	car/car-97.jpg
96.78703738003969	0.43310618202667683	15	objects	car	car/car-74.jpg
97.3205655120546	0.4339784069452435	16	characters	word	word/word-122.jpg
97.87078963406384	0.4341536700958386	16	characters	word	word/word-68.jpg
98.42138299997896	0.43283254699781537	16	characters	word	word/word-23.jpg
98.95618025306612	0.43167310499120504	16	characters	word	word/word-109.jpg
99.48886856599711	0.4327106949640438	16	characters	word	word/word-130.jpg
100.0221848039655	0.4337423109682277	16	characters	word	word/word-136.jpg
100.57231564901303	0.43392959400080144	16	characters	word	word/word-70.jpg
101.12274488003459	0.43366706103552133	16	characters	word	word/word-72.jpg
101.65647282707505	0.43400391505565494	16	characters	word	word/word-101.jpg
102.20677735900972	0.43279547500424087	16	characters	word	word/word-118.jpg
102.75692511897068	0.4506399460369721	16	characters	word	word/word-136.jpg
103.32331627304666	0.43311446998268366	16	characters	word	word/word-100.jpg
103.85776990104932	0.43342331203166395	17	faces	adult	adult/adult-59.jpg
104.40736487298273	0.44951092009432614	17	faces	adult	adult/adult-43.jpg
104.95828304707538	0.43245413596741855	17	faces	adult	adult/adult-48.jpg
105.49129419203382	0.43388921103905886	17	faces	adult	adult/adult-51.jpg
106.04180814698339	0.43360205204226077	17	faces	adult	adult/adult-144.jpg
106.59309109603055	0.43296340701635927	17	faces	adult	adult/adult-142.jpg
107.14199610205833	0.4337434439221397	17	faces	adult	adult/adult-3.jpg
107.6925860560732	0.4337719159666449	17	faces	adult	adult/adult-81.jpg
108.24183941597585	0.43382322997786105	17	faces	adult	adult/adult-46.jpg
108.79239089298062	0.45047353906556964	17	faces	adult	adult/adult-31.jpg
109.3590081220027	0.4360348320333287	17	faces	adult	adult/adult-113.jpg
109.91053527698386	0.45060034992638975	17	faces	adult	adult/adult-7.jpg
110.4773700790247	0.43376492999959737	18	bodies	body	body/body-99.jpg
111.02747206797358	0.43356086895801127	18	bodies	body	body/body-142.jpg
111.57742244901601	0.43339357001241297	18	bodies	body	body/body-3.jpg
112.11122733098455	0.43407383596058935	18	bodies	body	body/body-143.jpg
112.64598266605753	0.4329078249866143	18	bodies	body	body/body-8.jpg
113.19513865106273	0.4330510849831626	18	bodies	body	body/body-44.jpg
